image_file,well
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s1_w2DCEC82F3-05F7-4F2F-B779-C5DF9698141E.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s2_w2570437EF-C8DC-4074-8D63-7FA3A7271FEE.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s3_w2194A9AC7-369B-4D84-99C0-DA809B0042B8.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s4_w298D4652F-B5BF-49F2-BE51-8149DF83EAFD.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s1_w2A29ED14B-952C-4BA1-89B9-4F92B6DADEB4.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s2_w20F5D0848-5B6C-4D1A-9936-C4204303DA54.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s3_w269893765-5E19-400E-878C-BABD379B990B.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s4_w260161015-CC57-4C7E-B717-6ECE274C232E.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s1_w2FC347BA1-84A1-437C-9176-A552A514A599.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s2_w218565B7C-4EBD-40BE-8D6A-31297C148472.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s3_w2038A3485-DAFB-4AFC-BA53-B8858B6022E3.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G10_s4_w2C69837B5-B4F9-4F5B-BB94-FA922CD24327.tif,G10
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G09_s3_w2C65E8F98-6CAA-40C7-8902-7B4437FE8B9B.tif,G09
/home/leonidas/workspace/differentiable_micoscopy_replication/data/mcf7_bbbc021/channel2_selected/G09_s4_w2100A7AFF-8039-4E9A-9EFF-CA65207EEB0E.tif,G09
